gjoin_src,gjoin_tgt,wt_pop,wt_hh
G2500090208101,G2500250170300,0.0025138802230253677,0.0025138802230253677
G2500090208102,G2500090208102,0.9961803226113285,0.9961803226113285
G2500090208102,G2500250170300,0.003819677388671482,0.003819677388671482
G2500090208200,G2500090208101,0.003578405454023483,0.003578405454023483
G2500090208200,G2500090208200,0.9933928703187281,0.9933928703187281
G2500090208200,G2500250170300,0.0030287242272484007,0.0030287242272484007
G2500090208301,G2500090208300,1.0,1.0
G2500090208302,G2500090208300,1.0,1.0
G2500090208401,G2500090208400,0.9991939716922368,0.9991939716922368
G2500090208401,G2500170335302,0.0008060283077631674,0.0008060283077631674
G2500090208402,G2500090208400,0.9998589823376511,0.9998589823376511
G2500090208402,G2500170335400,0.00014101766234885093,0.00014101766234885093
G2500090209100,G2500090209100,0.9996933608675589,0.9996933608675589
G2500090209100,G2500170335302,0.000306639132441121,0.000306639132441121
G2500090209200,G2500090209200,0.9990312456337019,0.9990312456337019
G2500090209200,G2500170330100,0.0009469938900576729,0.0009469938900576729
G2500090209200,G2500170335100,2.176047624041773e-05,2.176047624041773e-05
G2500090210100,G2500090210100,1.0,1.0
G2500090210200,G2500090210200,1.0,1.0
G2500090210301,G2500090210300,1.0,1.0
G2500090210302,G2500090210300,1.0,1.0
G2500090210401,G2500090210400,1.0,1.0
G2500090210402,G2500090210400,1.0,1.0
G2500090210500,G2500090210400,0.022889230253878477,0.022889230253878477
G2500090210500,G2500090210500,0.9771107697461215,0.9771107697461215
G2500090210600,G2500090210600,0.9969499975925495,0.9969499975925495
G2500090210600,G2500090210700,0.0030500024074504826,0.0030500024074504826
G2500090210700,G2500090210600,0.0003293086998396312,0.0003293086998396312
G2500090210700,G2500090210700,0.9996706913001604,0.9996706913001604
G2500090210800,G2500090210800,1.0,1.0
G2500090210900,G2500090210800,0.0003833406225135552,0.0003833406225135552
G2500090210900,G2500090210900,0.9996166593774864,0.9996166593774864
G2500090211100,G2500090210900,4.8699957232112025e-05,4.8699957232112025e-05
G2500090211100,G2500090211100,0.9999513000427679,0.9999513000427679
G2500090211201,G2500090211200,1.0,1.0
G2500090211202,G2500090211200,1.0,1.0
G2500090211300,G2500090211300,1.0,1.0
G2500090211401,G2500090211401,0.9973537364238566,0.9973537364238566
G2500090211401,G2500090211402,0.002646263576143349,0.002646263576143349
G2500090211401,G2500090212100,0.0,0.0
G2500090211402,G2500090211401,0.003151480789494201,0.003151480789494201
G2500090211402,G2500090211402,0.9968485192105058,0.9968485192105058
G2500090212101,G2500090211401,1.4437584620287635e-05,1.4437584620287635e-05
G2500090212101,G2500090212100,0.9999855624153797,0.9999855624153797
G2500090212101,G2500090213100,0.0,0.0
G2500090212102,G2500090212100,1.0,1.0
G2500090213100,G2500090213100,0.9995377221995574,0.9995377221995574
G2500090213100,G2500090214100,0.00046227780044263164,0.00046227780044263164
G2500090214100,G2500090211402,6.3276604721466605e-06,6.3276604721466605e-06
G2500090214100,G2500090213100,2.719271525978924e-05,2.719271525978924e-05
G2500090214100,G2500090214100,0.9999185192028432,0.9999185192028432
G2500090214100,G2500090215102,0.0,0.0
G2500090214100,G2500090216100,4.796042142478341e-05,4.796042142478341e-05
G2500090215101,G2500090215101,0.9999961756760568,0.9999961756760568
G2500090215101,G2500090223100,3.824323943183932e-06,3.824323943183932e-06
G2500090215102,G2500090215102,1.0,1.0
G2500090216100,G2500090214100,0.0,0.0
G2500090216100,G2500090216100,0.9999917322861837,0.9999917322861837
G2500090216100,G2500090218100,8.267713816312673e-06,8.267713816312673e-06
G2500090217101,G2500090216100,8.559998521031108e-05,8.559998521031108e-05
G2500090217101,G2500090217100,0.9892552599326665,0.9892552599326665
G2500090217101,G2500090217600,0.010659140082123165,0.010659140082123165
G2500090217102,G2500090211300,3.773133899752115e-05,3.773133899752115e-05
G2500090217102,G2500090217100,0.9999622686610025,0.9999622686610025
G2500090217201,G2500090217201,1.0,1.0
G2500090217202,G2500090217202,1.0,1.0
G2500090217300,G2500090217300,1.0,1.0
G2500090217401,G2500090217400,1.0,1.0
G2500090217402,G2500090217400,1.0,1.0
G2500090217500,G2500090217500,1.0,1.0
G2500090217601,G2500090217600,1.0,1.0
G2500090217602,G2500090217600,1.0,1.0
G2500090218100,G2500090217600,1.4558026473771143e-05,1.4558026473771143e-05
G2500090218100,G2500090218100,0.9999854419735262,0.9999854419735262
G2500090220101,G2500090220101,1.0,1.0
G2500090220102,G2500090220102,0.9999984446804542,0.9999984446804542
G2500090220102,G2500090221300,1.5553195457844798e-06,1.5553195457844798e-06
G2500090221100,G2500090221100,1.0,1.0
G2500090221100,G2500090221600,0.0,0.0
G2500090221300,G2500090221300,1.0,1.0
G2500090221300,G2500090221400,0.0,0.0
G2500090221400,G2500090221400,1.0,1.0
G2500090221500,G2500090221500,1.0,1.0
G2500090221600,G2500090221600,1.0,1.0
G2500090221700,G2500090221700,1.0,1.0
G2500090221800,G2500090221800,1.0,1.0
G2500090221901,G2500090221901,1.0,1.0
G2500090221902,G2500090221902,1.0,1.0
G2500090222100,G2500090222100,1.0,1.0
G2500090223100,G2500090223100,0.9998462783371885,0.9998462783371885
G2500090223100,G2500090223200,0.0,0.0
